iter	Passed	Remaining
0	49	9757
1	95	9437
2	139	9185
3	181	8889
4	223	8715
5	265	8596
6	309	8520
7	352	8460
8	392	8320
9	432	8209
10	471	8097
11	511	8008
12	553	7958
13	593	7888
14	634	7828
15	679	7819
16	723	7788
17	769	7783
18	811	7732
19	852	7670
20	893	7614
21	935	7567
22	977	7525
23	1020	7481
24	1061	7430
25	1103	7383
26	1147	7354
27	1189	7304
28	1230	7256
29	1273	7217
30	1318	7186
31	1361	7147
32	1402	7098
33	1444	7051
34	1484	6999
35	1526	6955
36	1567	6907
37	1611	6868
38	1653	6825
39	1693	6773
40	1734	6725
41	1775	6677
42	1821	6651
43	1861	6601
44	1902	6552
45	1943	6505
46	1987	6469
47	2031	6432
48	2074	6393
49	2119	6358
50	2160	6310
51	2199	6259
52	2246	6232
53	2286	6181
54	2331	6147
55	2371	6097
56	2413	6054
57	2455	6012
58	2493	5957
59	2536	5919
60	2583	5886
61	2626	5845
62	2669	5805
63	2712	5763
64	2754	5720
65	2795	5676
66	2838	5635
67	2881	5594
68	2921	5546
69	2964	5505
70	3005	5460
71	3050	5422
72	3092	5380
73	3135	5338
74	3176	5294
75	3216	5248
76	3259	5206
77	3300	5162
78	3341	5118
79	3383	5074
80	3426	5034
81	3471	4995
82	3514	4953
83	3553	4907
84	3599	4869
85	3639	4825
86	3681	4781
87	3722	4738
88	3763	4693
89	3803	4649
90	3850	4611
91	3897	4574
92	3939	4532
93	3981	4489
94	4024	4447
95	4063	4402
96	4103	4357
97	4145	4315
98	4185	4269
99	4224	4224
100	4264	4180
101	4303	4134
102	4344	4091
103	4381	4044
104	4419	3998
105	4457	3952
106	4496	3908
107	4535	3863
108	4575	3820
109	4616	3776
110	4657	3734
111	4698	3691
112	4739	3649
113	4778	3604
114	4819	3562
115	4861	3520
116	4899	3475
117	4939	3432
118	4978	3388
119	5020	3346
120	5059	3303
121	5100	3260
122	5141	3218
123	5184	3177
124	5223	3133
125	5263	3091
126	5304	3048
127	5343	3005
128	5385	2963
129	5423	2920
130	5463	2877
131	5504	2835
132	5545	2793
133	5584	2750
134	5625	2708
135	5666	2666
136	5706	2624
137	5746	2581
138	5785	2538
139	5827	2497
140	5867	2455
141	5906	2412
142	5948	2370
143	5987	2328
144	6029	2287
145	6071	2245
146	6111	2203
147	6152	2161
148	6192	2119
149	6235	2078
150	6274	2036
151	6317	1994
152	6360	1953
153	6403	1912
154	6444	1870
155	6484	1828
156	6523	1786
157	6561	1744
158	6601	1702
159	6641	1660
160	6680	1618
161	6719	1576
162	6759	1534
163	6800	1492
164	6843	1451
165	6884	1410
166	6924	1368
167	6962	1326
168	7001	1284
169	7041	1242
170	7082	1201
171	7122	1159
172	7162	1117
173	7201	1076
174	7241	1034
175	7282	993
176	7323	951
177	7365	910
178	7407	869
179	7449	827
180	7491	786
181	7530	744
182	7571	703
183	7613	662
184	7652	620
185	7691	578
186	7730	537
187	7773	496
188	7819	455
189	7858	413
190	7896	372
191	7936	330
192	7974	289
193	8017	247
194	8056	206
195	8094	165
196	8134	123
197	8173	82
198	8211	41
199	8251	0
